,,,,,,,,,,,,,,x,,,,,,,,,,,,
50.349,55.047,53.769,55.701,56.512,57.709,53.786,52.814,45.758,3.0098,3.0522,3.0851,3.0434,3.0614,3.0799,3.0348,3.0287,0.00039285,0.00092305,0.00047676,0.0011428,0.0015231,0.00105,0.0015349,0.0012749,0.0015145,0.0021176
48.225,54.029,55.596,56.664,57.458,57.99,55.421,53.585,50.298,3.1075,3.0702,3.0608,3.1315,3.0256,3.0418,2.9973,2.9917,0.0017118,0.0013737,0.0020913,0.0016008,0.0013152,0.00091945,0.00064334,0.00081164,0.002103,0.00073195
47.079,53.17,56.064,56.617,55.599,53.434,56.116,54.03,49.57,3.0073,3.0766,3.1179,3.0404,3.0417,3.0638,2.9704,2.9788,0.0012754,0.00045906,0.0012279,0.0012332,0.00093373,0.00034839,0.0012752,0.0015394,0.00058714,0.00094359
49.334,54.315,57.05,57.08,57.339,57.309,54.175,53.165,47.377,3.075,3.0834,3.0604,3.1009,3.1084,3.0666,3.0116,3.0288,0.0016538,0.00093596,0.0014589,0.0015332,0.00092141,0.0015302,0.00023868,0.0005243,0.0013906,0.0020239
50.992,56.125,55.296,55.149,55.351,56.243,55.105,52.969,49.155,2.9974,3.1057,3.0756,3.0792,3.1145,3.0425,3.024,3.0383,0.00076009,0.00030946,0.00092312,0.00099415,0.00089072,0.00065545,0.00077042,0.00061989,0.0020415,0.0013602
49.068,53.085,55.421,56.07,57.12,57.502,56.277,55.923,49.239,3.0203,3.0965,3.0462,3.1023,3.0569,3.0351,3.101,3.1003,0.0013745,0.00075623,0.00086606,0.00037762,0.00032746,0.0014909,0.0014547,0.0012758,0.001685,0.00097806
46.365,53.3,55.7,57.14,57.258,57.572,56.125,54.88,46.293,3.086,3.0834,3.0859,3.1004,3.1068,3.0549,3.0758,3.0529,0.00088349,0.0017062,0.0012831,0.0012442,0.0014405,0.0014834,0.0017771,0.00064662,0.00047215,0.00048534
46.194,54.002,55.552,56.76,58.568,57.514,55.278,51.32,47.416,2.8764,3.0666,3.0745,3.0691,3.0893,3.0713,2.994,3.077,0.00078675,0.0016176,0.0010828,0.0012574,0.0016632,0.00099258,0.00092452,0.0022599,0.0015922,0.0010618
45.937,55.263,55.739,56.104,57.232,56.038,54.608,54.872,46.382,3.0385,3.0568,3.0586,3.0192,3.0839,3.0701,2.9526,2.8928,0.0014089,0.0011892,0.00021174,0.0010305,0.0009863,0.00182,0.0009533,0.0013118,0.0012777,0.0012038
50.13,55.314,57.427,57.591,56.176,55.805,54.807,55.256,48.293,3.0441,3.1241,3.012,3.0139,3.0473,3.0737,3.1145,3.1149,0.00048772,0.00040226,0.0017321,0.001067,0.0016581,0.0012329,0.0010993,0.0010304,0.0010397,0.00064944
48.721,53.521,54.587,56.434,57.262,57.746,56.656,53.716,47.988,2.9912,3.122,3.0766,3.1346,3.1102,3.093,3.036,3.0385,0.0012999,0.00050996,0.00062969,0.00067873,0.00080769,0.00075634,0.00052908,0.00084283,0.001009,0.0019105
50.434,55.701,53.673,55.503,57.642,57.224,55.666,54.274,49.556,3.0704,3.0872,3.1161,3.1067,3.1069,3.0371,3.0876,3.1239,0.001446,0.00053187,0.001375,0.0014491,0.0012181,0.0014266,0.00044369,0.0015964,0.00067966,0.0024177
46.063,52.75,56.024,56.601,57.029,57.056,55.689,55.488,46.351,3.064,2.9747,2.9932,3.1127,3.0631,2.9833,3.0131,3.0203,0.0011663,0.00090802,0.001668,0.00044036,0.0013895,0.0011665,0.0010328,0.00071717,0.0012469,0.00058118
47.646,54.441,53.8,56.375,56.065,56.98,56.215,54.858,46.443,2.9483,3.0612,3.0983,3.0886,3.083,3.1321,3.1141,3.0444,0.0013396,0.0023199,0.0012355,0.00058904,0.00058558,0.00090758,0.0022323,0.0015918,0.001181,0.001048
47.007,55.053,57.016,55.911,57.138,56.319,55.52,56.204,48.949,3.0003,3.0387,3.0225,3.092,3.0843,3.0498,3.1218,3.0652,0.001479,0.0017564,0.00061356,0.00054428,0.0014643,0.0011061,0.0010283,0.00040222,0.00074512,0.0018478
46.397,53.31,56.65,57.363,55.705,57.39,57.124,53.908,48.285,3.071,3.0826,3.0319,3.0888,3.0704,3.0477,3.1118,3.0912,0.001084,0.0011065,0.0011845,0.001026,0.00055201,0.00063378,0.0013713,0.00071488,0.0013656,0.0010239
49.552,53.651,56.05,57.049,56.604,56.629,56.136,54.105,50.881,3.0611,3.1016,3.0904,3.0416,3.0531,3.039,3.0217,3.0896,0.00091213,0.0012606,0.00079558,0.0013623,0.0008037,0.0010982,0.001001,0.00060785,0.0007853,0.0010349
50.486,52.867,54.045,57.09,56.207,55.714,56.457,54.584,49.602,3.0232,3.0604,2.9912,3.0194,3.0142,3.1065,3.1088,3.0188,0.0010916,0.0015767,0.00077204,0.0012528,0.0014091,0.00062027,0.0013677,0.0015211,0.00096342,0.0015209
51.796,54.578,54.652,54.934,56.932,57.184,57.378,56.149,45.438,3.0238,3.0167,3.0453,3.1014,3.0942,3.0705,3.0613,3.0444,0.0016633,0.00074634,0.0015482,0.0014,0.00040613,0.0015117,0.00080874,0.0012245,0.00085032,0.00096871
45.201,54.121,57.714,56.934,55.704,54.211,55.178,52.748,48.578,3.1111,3.0253,3.1269,3.0959,3.0964,3.0291,3.0306,3.0094,0.00098714,0.0010985,0.00029203,0.0016836,0.00086841,0.0011282,0.0013368,0.00094311,0.00083947,0.0017302
48.846,51.431,55.256,56.214,58.176,58.442,56.038,54.02,49.622,3.054,3.0734,3.1124,3.1271,3.0437,2.9947,3.098,3.0354,0.0016025,0.00080677,0.00057029,0.0013702,0.0021054,0.0017038,0.00088341,0.00081799,0.0010136,0.0012549
50.77,54.042,54.735,56.3,56.964,55.956,55.651,52.709,48.391,3.0517,2.9869,3.0874,3.0919,3.0134,2.98,3.0471,2.9844,0.0020054,0.0019547,0.00087638,0.00081844,0.0010239,0.0010417,0.001003,0.00088571,0.0012765,0.0013228
47.147,52.74,55.927,56.107,57.11,56.077,56.114,53.354,50.363,2.9501,3.0237,3.0663,3.0518,2.9865,2.9648,3.1132,3.0864,0.0012636,0.0015579,0.00095587,0.00077154,0.0012711,0.00085267,0.0010751,0.00056065,0.00065799,0.001131
52.161,54.908,54.004,55.481,57.488,57.31,57.308,52.932,46.643,3.019,3.0213,3.0949,3.0587,3.0795,3.0772,3.0392,3.0881,0.0015087,0.00072459,0.0016406,0.0014016,0.00044559,0.00098836,0.0013026,0.00155,0.00045284,0.00082736
45.406,53.905,55.729,56.324,55.991,56.715,57.824,55.863,49.755,3.0379,3.0707,3.0759,3.0967,3.1138,3.0622,3.0137,2.9782,0.0013685,0.00086934,0.00064428,0.0015581,0.0021993,0.00075267,0.0014515,0.0013058,0.00081472,0.00060838
48.349,52.667,55.52,57.606,54.718,56.587,54.656,54.904,49.397,3.0576,3.0474,3.0779,3.0297,3.0484,3.0685,3.0399,2.9978,0.0015951,0.0010426,0.0014586,0.0010096,0.001831,0.00078113,0.00098497,0.00099617,0.0014797,0.0015239
50.068,52.717,54.519,56.942,57.488,57.187,54.706,55.449,50.801,3.0215,3.06,3.0627,2.9961,3.0399,3.0751,3.0704,3.0681,0.0016207,0.00055478,0.0012092,0.0012572,0.00095677,0.00080452,0.0018859,0.00092633,0.0011767,0.0016307
49.71,52.97,56.679,55.93,55.326,56.954,56.075,54.886,48.38,3.0644,3.0636,3.0915,3.0726,3.1373,3.0458,3.1102,2.9928,0.0016947,0.0010979,0.0012841,0.0012776,0.00068329,0.0016216,0.00054142,0.00097122,0.00105,0.0010105
50.664,53.452,55.145,56.949,57.556,57.187,55.37,53.307,47.784,3.1151,3.0884,3.1158,3.1087,3.0817,3.1188,3.0148,2.9759,0.0018574,0.00026462,0.00017314,0.0010429,0.00070804,0.00087005,0.00083088,0.0013694,0.00062232,0.0019093
49.162,54.685,56.458,56.444,57.209,57.084,55.873,54.862,49.727,2.9322,3.014,3.0795,3.0525,3.1095,3.0822,3.0608,3.0854,0.0018463,0.00069389,0.00079119,0.0013574,0.0010341,0.00050394,0.00097666,0.0017451,0.0015769,0.0012423
48.113,52.853,54.909,55.746,54.857,56.475,56.25,52.975,50.231,2.9664,2.9758,3.0445,2.9757,3.0622,3.121,3.0388,3.1137,0.0010159,0.0019307,0.00081043,0.0012539,0.001295,0.00069962,0.00072653,0.00078064,0.0011375,0.0016744
49.988,54.343,55.995,55.588,56.378,55.139,55.329,54.781,48.742,3.0257,3.0682,3.0921,3.1242,3.0409,3.0158,3.0366,3.1003,0.00087558,0.00087544,0.00030498,0.00097209,0.0014159,0.0019696,0.00090322,0.00035086,0.0024963,0.0011577
47.951,54.496,57.545,56.044,56.841,56.383,55.244,53.832,47.25,2.9902,3.0579,2.994,3.07,3.0586,3.049,3.0142,2.9317,0.00073192,0.00073971,0.00088226,0.0014216,0.0011457,0.001159,0.00075078,0.0014175,0.0014491,0.0015603
48.008,53.603,55.852,56.392,55.215,55.814,55.285,55.645,48.973,3.0312,3.0783,3.0193,3.0384,3.0135,3.0157,3.0553,3.0527,0.0018884,0.0012612,0.00094621,0.001169,0.00089434,0.00054809,0.00045451,0.00069631,0.0017727,0.0014103
46.473,52.838,55.952,57.421,56.378,56.853,55.902,51.751,47.924,3.0955,3.1176,3.057,3.112,3.0947,3.1033,3.0924,3.0186,0.0010031,0.00047653,0.0011961,0.0016726,0.00050539,0.00097808,0.0014627,0.00047664,0.001721,0.0010795
49.3,53.805,56.667,56.49,55.394,55.775,55.245,54.518,47.144,2.9539,3.1136,3.1009,3.0984,3.075,3.0704,3.0913,2.9746,0.00074146,0.0015699,0.00046846,0.00048676,0.00068092,0.00095705,0.0010065,0.00085974,0.00084631,0.0014746
48.481,55.112,57.291,55.958,56.87,54.92,56.129,55.937,46.807,3.063,3.0221,3.0535,3.0408,3.0783,3.1143,3.0743,3.0513,0.0018023,0.00090114,0.00026998,0.0010521,0.00042314,0.0013558,0.0013466,0.00098045,0.0010135,0.0011289
50.016,53.745,54.963,57.166,57.281,55.308,56.191,54.026,47.044,3.0514,3.1246,3.0773,3.091,3.0784,3.0945,3.0405,3.078,0.0020958,0.0014361,0.0010352,0.0017841,0.0012535,0.0014253,0.00082205,0.00058109,0.0018521,0.0017692
46.862,53.651,56.081,56.61,57.205,56.257,55.956,53.803,50.999,3.0554,2.9235,3.057,3.1168,3.0513,3.0612,3.1077,2.9932,0.0018344,0.00047251,0.00083822,0.0020617,0.0011186,0.0011539,0.0011066,0.0001996,0.0012114,0.0003788
48.99,53.536,55.231,57.627,57.115,55.505,55.367,54.035,50.028,2.9554,3.0357,3.073,3.0884,3.0542,3.0451,3.0525,3.0315,0.0009741,0.0014242,0.00072599,0.00080592,0.0013767,0.0016458,0.00031443,0.00042782,0.00094736,0.0030629
50.856,53.302,56.215,55.576,56.673,55.813,55.954,54.051,49.736,3.0582,3.0351,2.9969,3.0392,3.0413,3.0525,3.046,2.9942,0.0010864,0.0011171,0.0012501,0.0015475,0.00030736,0.00065688,0.0009725,0.00052616,0.00094244,0.0021056
43.964,54.048,54.669,55.567,56.29,58.083,57.114,53.253,48.377,3.071,3.1015,3.0302,3.0422,3.0824,3.1052,2.9923,2.9847,0.0018321,0.0010402,0.0012525,0.0010115,0.0014496,0.0014399,0.00063628,0.00028262,0.00092042,0.00079325
47.108,53.126,56.348,55.776,55.448,57.273,56.341,52.304,48.253,3.0276,3.0302,3.0641,3.1099,3.063,3.0775,3.0662,2.9809,0.0021039,0.0015832,0.0017639,0.00039413,0.0011073,0.0012195,0.00048694,0.0014473,0.00057169,0.0018658
49.439,55.076,53.322,55.052,57.183,56.289,57.299,54.057,48.75,3.0808,3.0804,3.0617,3.1039,2.9485,2.9767,3.0572,3.101,0.0012976,0.0014485,0.0021077,0.0011711,0.0010671,0.0007404,0.0015402,0.00039186,0.00083887,0.0014282
47.371,55.023,55.46,55.933,56.555,56.387,54.977,52.977,47.015,3.076,3.0773,3.0755,3.0471,3.0906,3.0913,3.0641,3.1012,0.00019838,0.0010156,0.00030704,0.00031972,0.00097119,0.00096626,0.0010961,0.00086777,0.0014061,0.0013343
49.778,54.108,54.252,56.103,56.627,57.476,55.637,53.261,47.11,2.9359,3.0794,3.1106,3.0321,3.1097,3.0546,3.0353,3.107,0.0011541,0.00056517,0.00095352,0.0015211,0.0014925,0.0012498,0.0014779,0.00034415,0.0013315,0.0024129
48.739,53.937,55.317,57.526,56.728,56.899,56.36,55.066,44.815,3.0742,3.1183,3.1132,3.1126,3.0847,3.0536,3.0687,3.0956,0.00024306,0.0023926,0.002219,0.0012135,0.0014322,0.00022629,0.00055898,0.00053103,0.0011131,0.0015931
51.361,54.304,56.194,55.687,56.388,56.234,56.515,52.728,48.642,3.1142,3.0396,2.9884,3.1248,2.9614,3.0495,3.0775,3.0204,0.0017064,0.002093,0.00073653,0.00055754,0.0013031,0.001489,0.0014415,0.002453,0.0010669,0.00145
50.735,53.663,56.767,56.3,56.404,56.702,55.33,55.197,47.66,2.891,3.0453,3.0154,3.0607,3.0086,3.0676,2.9317,3.0425,0.0021804,0.0010408,0.000289,0.0011383,0.0013124,0.0010884,0.0010796,0.00096254,0.00122,0.0015492
46.486,56.2,56.645,56.157,57.579,55.888,55.566,53.001,47.663,2.9993,3.0481,3.0764,3.128,3.0654,3.0743,3.0744,3.0095,0.001258,0.0011812,0.0002506,0.00064925,0.0014401,0.0016134,0.00098961,0.0012182,0.00092603,0.00083253
47.109,55.256,55.292,54.157,57.269,57.298,55.582,54.439,48.961,3.0385,3.096,3.01,2.9519,3.0764,3.0715,3.1227,3.0467,0.00085048,0.00099034,0.0016294,0.0012308,0.001219,0.0013444,0.00039977,0.00021831,0.0013472,0.0018119
48.074,54.211,55.36,56.304,56.405,57.87,57.167,55.267,46.588,3.0498,3.0722,3.0766,3.0677,3.1009,3.0899,3.1306,3.0227,0.0014476,0.0014784,0.0013154,0.00098274,0.001279,0.0010302,0.0012334,0.0009386,0.0016868,0.0015867
53.208,55.344,55.369,55.054,57.58,57.09,55.328,55.277,47.491,3.1325,3.1084,3.0752,3.0738,3.0524,2.9799,3.0077,2.997,0.001772,0.0013615,0.00069658,0.0015703,0.0017713,0.00026688,0.00084106,0.0010891,0.0011534,0.0019762
48.07,55.626,55.302,56.349,57.198,57.08,57.424,54.623,47.517,3.0555,2.9957,3.0226,3.1096,3.0948,3.0751,3.0675,3.0628,0.00087754,0.0012058,0.00081523,0.0006239,0.0016709,0.0014419,0.0004348,0.0005768,0.00073136,0.0014018
47.303,55.129,56.637,56.671,57.67,56.671,55.897,52.68,43.286,3.1021,3.0852,3.041,3.0705,3.0501,3.0464,3.129,3.0217,0.0017787,0.0015237,0.0013627,0.0010649,0.001179,0.0012815,0.0014846,0.0012048,0.00082822,0.00153
50.42,54.798,54.481,55.307,55.694,56.68,57.32,54.695,47.407,3.0202,3.1115,3.0894,3.081,3.0245,3.0584,3.0967,2.9935,0.00058048,0.0014281,0.00095521,0.0011443,0.0014935,0.00063476,0.00022982,0.0023945,0.0012505,0.0011292
49.722,53.663,56.524,56.697,56.241,56.107,55,53.297,48.359,3.0387,3.0596,3.1277,3.0694,3.053,3.0385,3.0198,3.0007,0.00035806,0.0011345,0.0015635,0.00093811,0.0012734,0.00042261,0.0022137,0.00067609,0.0017807,0.0011506
48.97,53.268,55.016,56.771,57.312,56.134,57.007,53.188,46,3.1158,3.0215,3.1128,3.1164,3.0801,3.0966,3.1115,3.0505,0.0018091,0.0017791,0.0006598,0.0012009,0.0015033,0.00092937,0.0015709,0.0010959,0.0013644,0.0023103
46.146,53.497,55.4,56.576,56.681,56.451,57.515,52.753,47.646,3.0899,3.0861,3.0816,3.1081,3.0338,3.0635,3.1046,3.0898,0.00065146,0.00092948,0.00072511,0.0013733,0.0010094,0.0006421,0.00086777,0.00069374,0.0014215,0.0014291
48.113,51.695,55.144,57.085,54.537,57.136,56.965,53.141,47.526,3.1026,3.0054,3.0809,3.0526,3.0392,3.1044,3.1037,3.1082,0.00095659,0.00099909,0.0010613,0.00084612,0.0008436,0.0016486,0.0012796,0.00086864,0.00060333,0.00095311
52.728,54.992,57.547,55.692,55.906,56.643,54.94,53.005,50.312,3.0604,3.0196,3.0441,3.0813,3.0509,3.0984,3.1045,3.1034,0.00040445,0.00073869,0.00075955,0.00052042,0.0016761,0.00034139,0.00067385,0.00092413,0.00077138,0.0018393
44.863,54.126,56.303,56.583,56.529,56.438,55.08,54.159,46.678,3.0184,3.1093,3.0029,3.0556,3.0202,3.082,3.1156,2.9662,0.00031109,0.00067167,0.00072756,0.00095598,0.00074749,0.0013898,0.0013586,0.00093125,0.00086003,0.0016267
49.942,53.861,55.961,56.011,55.495,56.353,56.889,54.138,47.015,3.127,3.0057,2.9443,3.0272,3.076,3.0654,3.1139,3.0745,0.00072476,0.0010322,0.0008738,0.00071539,0.00099688,0.00094814,0.00037668,0.0015523,0.0010625,0.0014326
47.539,50.978,54.989,56.773,55.366,56.347,55.478,52.913,50.969,3.0116,3.0589,2.9903,3.0131,3.0826,3.0714,3.0553,2.9759,0.0010421,0.0020654,0.001034,0.00097587,0.0010359,0.00075519,0.0014986,0.00071743,0.00040793,0.0020406
47.361,53.651,57.157,56.221,55.791,57.068,57.193,54.617,47.018,3.0656,3.0807,3.06,3.1257,3.0182,2.9654,3.0193,3.0439,0.0015983,0.0014061,0.0014597,0.0015736,0.001405,0.0012297,0.0010622,0.00030505,0.00013841,0.0019709
46.428,53.652,57.256,56.425,55.009,55.016,56,54.869,43.984,3.0668,3.0528,3.0302,3.1362,3.0522,3.0211,3.1063,3.0371,0.00072469,0.00071623,0.00053901,0.0011187,0.00059691,0.0015358,0.0017638,0.00071244,0.0016137,0.0016767
48.202,55.969,56.657,57.218,56.883,56.034,53.64,53.76,50.845,3.103,3.0994,3.0505,3.0817,3.0725,3.0932,3.0588,2.9831,0.001425,0.00090912,0.0011619,0.0015877,0.00066274,0.0010865,0.0011668,0.002116,0.00065674,0.0014028
49.556,54.274,56.55,55.887,56.07,56.645,55.675,53.449,49.076,3.0052,3.0549,3.0286,3.099,3.1004,3.0737,3.0651,3.0736,0.00081383,0.0013809,0.0014425,0.00050652,0.000668,0.00085148,0.00096287,0.0011897,0.0019155,0.00085337
46.359,53.299,54.35,56.14,57.297,57.943,55.039,53.66,48.988,3.0544,3.0239,2.9814,3.0233,3.1043,3.0856,3.0928,3.0602,0.00053827,0.0011574,0.00052746,0.00084199,0.00091678,0.00091501,0.00048205,0.0014939,0.00082907,0.0005717
45.115,53.617,54.252,55.669,55.507,56.599,56.14,55.134,48.624,3.0155,3.1066,3.1151,3.1256,3.0943,3.1232,3.0752,3.0157,0.0017571,0.0018842,0.0011483,0.00059002,0.00096024,0.0017161,0.0013042,0.0014784,0.0011968,0.0010119
47.2,51.287,55.046,57.093,56.422,56.867,54.451,54.499,48.537,2.9855,3.0819,3.034,3.0459,3.0709,3.1207,3.0674,2.9739,0.00097476,0.0014831,0.0011265,0.00023396,0.00046879,0.00079381,0.00074145,0.0024249,0.0014353,0.0015204
48.78,55.011,54.456,56.994,57.868,57.388,56.297,53.113,45.642,3.0697,2.9499,3.0729,3.0912,3.0717,3.065,3.0395,2.9529,0.0018087,0.0015178,0.00066417,0.00099388,0.0010214,0.00054068,0.00088966,0.0013327,0.00051047,0.001682
49.843,53.828,54.596,57.494,55.684,56.241,54.273,53.917,48.371,2.9486,3.0614,3.0997,3.1025,2.9919,3.0761,3.0121,3.0369,0.00098182,0.0008485,0.0003998,0.00038472,0.00097377,0.00054798,0.00038763,0.00066609,0.00078257,0.0015179
51.158,55.687,56.81,55.502,57.163,55.723,55.204,53.493,44.049,3.0281,3.086,3.1115,3.0888,3.0707,3.0348,3.0954,2.9618,0.0019965,0.0011886,0.00098211,0.00041307,0.00065582,0.00040964,0.0010755,0.0011799,0.0021519,0.0006972
47.586,54.394,56.515,56.974,56.966,56.255,55.354,51.197,48.502,3.0071,3.0364,3.0347,2.9786,3.0879,3.1077,3.1221,3.0921,0.00043932,0.00079813,0.0011028,0.0011985,0.00042586,0.0015322,0.00094046,0.0010528,0.0017833,0.0019119
